"ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","source","url"
"MD00301",1995,"Baltimore County, Md.",716904,38,248,2468,4909,7663,12,1068.90183343934,5.30057022976577,34.5931951837345,344.258087554261,684.749980471583,NA,NA
"MA01301",1995,"Boston",550715,96,379,3597,5497,9569,12,1737.55935465713,17.4318840053385,68.819625396076,653.150903825028,998.156941430685,NA,NA
"NY01401",1995,"Buffalo, N.Y.",312395,62,261,2836,3174,6333,12,2027.24115302742,19.8466684806095,83.5480721522432,907.825029209815,1016.02138318475,NA,NA
"NC06001",1995,"Charlotte-Mecklenburg, N.C.",544146,89,366,2949,5824,9228,12,1695.86838826344,16.3559044815178,67.2613600026463,541.950138381978,1070.3009853973,NA,NA
"ILCPD00",1995,"Chicago",2749811,824,2896,30086,39205,73011,12,2655.12793424712,29.9656958241857,105.316329013158,1094.11155893987,1425.7343504699,"Illinois State Police","http://www.isp.state.il.us/docs/cii/cii97/cii97section1.pdf"
"OHCIP00",1995,"Cincinnati",359749,50,408,2155,2027,4640,12,1289.7881578545,13.8985792872253,113.412406983758,599.028767279409,563.448404304112,NA,NA
"OHCLP00",1995,"Cleveland",495074,129,689,4224,3108,8150,12,1646.21854510639,26.0567107139539,139.171113813289,853.205783377838,627.784937201307,NA,NA
"OHCOP00",1995,"Columbus, Ohio",638729,77,636,3329,2582,6624,12,1037.05953542113,12.0551908555898,99.5727452487675,521.191303354005,404.240295962764,NA,NA
"TXDPD00",1995,"Dallas",1042088,276,852,5899,8942,15969,12,1532.40417316004,26.4852872310208,81.7589301479338,566.07503397026,858.084921810826,NA,NA
"CODPD00",1995,"Denver",505843,81,320,1413,2543,4357,12,861.334445667925,16.0128735595827,63.2607350502033,279.335683206054,502.725153852085,NA,NA
"MI82349",1995,"Detroit",997297,475,1104,10076,12356,24011,12,2407.60776378551,47.6287404855324,110.699219991637,1010.33092448889,1238.94887881945,NA,NA
"TX07102",1995,"El Paso, Texas",590215,37,242,1076,3593,4948,12,838.338571537491,6.26890201028439,41.0020077429411,182.306447650432,608.761214133833,NA,NA
"VA02901",1995,"Fairfax County, Va.",856544,15,87,447,348,897,12,104.723166585721,1.75122352150035,10.1570964247021,52.1864609407106,40.6283856988082,NA,NA
"TX22012",1995,"Fort Worth, Texas",460321,108,332,1965,2939,5344,12,1160.92900389076,23.4618885516846,72.1235833255489,426.876027815372,638.467504198157,NA,NA
"CA01005",1995,"Fresno, Calif.",388495,71,212,2166,3210,5659,12,1456.64680369117,18.2756534833138,54.5695568797539,557.536133026165,826.265460301934,NA,NA
"HI00200",1995,"Honolulu",880266,38,217,1371,1256,2882,12,327.401035596058,4.31687694401465,24.6516393908205,155.748376059055,142.684143202168,NA,NA
"TXHPD00",1995,"Houston",1734335,316,837,9222,11885,22260,12,1283.48906064861,18.2202400343648,48.2605724960864,531.731182268708,685.277065849447,NA,NA
"INIPD00",1995,"Indianapolis",373973,82,381,2086,3158,5707,10,1526.04599797312,21.9267166346234,101.879012655994,557.79427926615,844.445989416348,NA,NA
"FL01602",1995,"Jacksonville, Fla.",679148,86,625,2920,5965,9596,12,1412.94680982643,12.6629247233298,92.0270692102458,429.950467350268,878.306348542586,NA,NA
"MOKPD00",1995,"Kansas City, Mo.",445549,107,470,3346,5811,9734,12,2184.72042356733,24.0153159360699,105.487836354699,750.983617963456,1304.2336533131,NA,NA
"NV00201",1995,"Las Vegas",793432,118,571,3712,5122,9523,12,1200.22887909739,14.8720999405116,71.9658395426451,467.840974399823,645.54996521441,NA,NA
"CA01941",1995,"Long Beach, Calif.",436034,80,171,2774,2624,5649,12,1295.54117339474,18.3471931087943,39.2171252700477,636.188921047441,601.787933968452,NA,NA
"CA01942",1995,"Los Angeles",3466211,849,1590,29134,38945,70518,12,2034.44048847574,24.4936041112327,45.8714140599058,840.514325296411,1123.56114500819,NA,NA
